pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numtoday,percentoday
35,Ontario,Ontario,31-01-2020,3,0,0,3,,3,3.000
59,British Columbia,Colombie-Britannique,31-01-2020,1,0,0,1,,1,1.000
1,Canada,Canada,31-01-2020,4,0,0,4,,4,4.000
35,Ontario,Ontario,08-02-2020,3,0,0,3,,0,0.000
59,British Columbia,Colombie-Britannique,08-02-2020,4,0,0,4,,3,3.000
1,Canada,Canada,08-02-2020,7,0,0,7,,3,0.750
35,Ontario,Ontario,16-02-2020,3,0,0,3,,0,0.000
59,British Columbia,Colombie-Britannique,16-02-2020,5,0,0,5,,1,0.250
1,Canada,Canada,16-02-2020,8,0,0,8,,1,0.143
35,Ontario,Ontario,21-02-2020,3,0,0,3,,0,0.000
59,British Columbia,Colombie-Britannique,21-02-2020,6,0,0,6,,1,0.200
1,Canada,Canada,21-02-2020,9,0,0,9,,1,0.125
35,Ontario,Ontario,24-02-2020,4,0,0,4,,1,0.333
59,British Columbia,Colombie-Britannique,24-02-2020,6,0,0,6,,0,0.000
1,Canada,Canada,24-02-2020,10,0,0,10,,1,0.111
35,Ontario,Ontario,25-02-2020,4,0,0,4,,0,0.000
59,British Columbia,Colombie-Britannique,25-02-2020,7,0,0,7,,1,0.167
1,Canada,Canada,25-02-2020,11,0,0,11,,1,0.100
35,Ontario,Ontario,26-02-2020,5,0,0,5,,1,0.250
59,British Columbia,Colombie-Britannique,26-02-2020,7,0,0,7,,0,0.000
1,Canada,Canada,26-02-2020,12,0,0,12,,1,0.091
35,Ontario,Ontario,27-02-2020,6,0,0,6,,1,0.200
59,British Columbia,Colombie-Britannique,27-02-2020,7,0,0,7,,0,0.000
1,Canada,Canada,27-02-2020,13,0,0,13,,1,0.083
35,Ontario,Ontario,29-02-2020,8,0,0,8,,2,0.333
59,British Columbia,Colombie-Britannique,29-02-2020,7,0,0,7,,0,0.000
1,Canada,Canada,29-02-2020,15,0,0,15,,2,0.154
35,Ontario,Ontario,01-03-2020,15,0,0,15,,7,0.875
59,British Columbia,Colombie-Britannique,01-03-2020,8,0,0,8,,1,0.143
24,Quebec,Québec,01-03-2020,1,0,0,1,,1,1.000
1,Canada,Canada,01-03-2020,24,0,0,24,,9,0.600
35,Ontario,Ontario,03-03-2020,20,0,0,20,,5,0.333
59,British Columbia,Colombie-Britannique,03-03-2020,12,0,0,12,,4,0.500
24,Quebec,Québec,03-03-2020,1,0,0,1,,0,0.000
1,Canada,Canada,03-03-2020,33,0,0,33,,9,0.375
35,Ontario,Ontario,05-03-2020,22,0,0,22,,2,0.100
59,British Columbia,Colombie-Britannique,05-03-2020,21,0,0,21,,9,0.750
24,Quebec,Québec,05-03-2020,2,0,0,2,,1,1.000
1,Canada,Canada,05-03-2020,45,0,0,45,,12,0.364
35,Ontario,Ontario,06-03-2020,28,0,0,28,,6,0.273
59,British Columbia,Colombie-Britannique,06-03-2020,21,0,0,21,,0,0.000
24,Quebec,Québec,06-03-2020,2,0,0,2,,0,0.000
1,Canada,Canada,06-03-2020,51,0,0,51,,6,0.133
35,Ontario,Ontario,07-03-2020,28,0,0,28,,0,0.000
59,British Columbia,Colombie-Britannique,07-03-2020,27,0,0,27,,6,0.286
24,Quebec,Québec,07-03-2020,2,0,0,2,,0,0.000
1,Canada,Canada,07-03-2020,57,0,0,57,,6,0.118
35,Ontario,Ontario,08-03-2020,31,0,0,31,,3,0.107
59,British Columbia,Colombie-Britannique,08-03-2020,27,0,0,27,,0,0.000
24,Quebec,Québec,08-03-2020,3,0,0,3,,1,0.500
48,Alberta,Alberta,08-03-2020,1,0,0,1,,1,1.000
1,Canada,Canada,08-03-2020,62,0,0,62,,5,0.088
35,Ontario,Ontario,09-03-2020,34,0,0,34,,3,0.097
59,British Columbia,Colombie-Britannique,09-03-2020,32,0,0,32,,5,0.185
24,Quebec,Québec,09-03-2020,4,0,0,4,,1,0.333
48,Alberta,Alberta,09-03-2020,7,0,0,7,,6,6.000
1,Canada,Canada,09-03-2020,77,0,0,77,,15,0.242
35,Ontario,Ontario,11-03-2020,42,0,0,42,3394,8,0.235
59,British Columbia,Colombie-Britannique,11-03-2020,39,0,0,39,4373,7,0.219
24,Quebec,Québec,11-03-2020,7,0,0,7,556,3,0.750
48,Alberta,Alberta,11-03-2020,14,0,0,14,1969,7,1.000
99,Repatriated Travellers,Voyageurs rapatriés,11-03-2020,1,0,0,1,0,1,1.000
47,Saskatchewan,Saskatchewan,11-03-2020,0,0,0,0,204,0,0.000
46,Manitoba,Manitoba,11-03-2020,0,0,0,0,352,0,0.000
13,New Brunswick,Nouveau-Brunswick,11-03-2020,0,0,0,0,22,0,0.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,11-03-2020,0,0,0,0,44,0,0.000
12,Nova Scotia,Nouvelle-Écosse,11-03-2020,0,0,0,0,103,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,11-03-2020,0,0,0,0,6,0,0.000
60,Yukon,Yukon,11-03-2020,0,0,0,0,0,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,11-03-2020,0,0,0,0,0,0,0.000
62,Nunavut,Nunavut,11-03-2020,0,0,0,0,0,0,0.000
1,Canada,Canada,11-03-2020,103,0,0,103,11023,26,0.338
59,British Columbia,Colombie-Britannique,12-03-2020,46,0,0,46,5195,7,0.179
48,Alberta,Alberta,12-03-2020,19,0,0,19,4109,5,0.357
47,Saskatchewan,Saskatchewan,12-03-2020,0,1,0,1,285,1,0.000
46,Manitoba,Manitoba,12-03-2020,0,1,0,1,352,1,0.000
35,Ontario,Ontario,12-03-2020,59,0,0,59,4185,17,0.405
24,Quebec,Québec,12-03-2020,13,0,0,13,740,6,0.857
13,New Brunswick,Nouveau-Brunswick,12-03-2020,0,1,0,1,44,1,0.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,12-03-2020,0,0,0,0,52,0,0.000
12,Nova Scotia,Nouvelle-Écosse,12-03-2020,0,0,0,0,182,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,12-03-2020,0,0,0,0,6,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,12-03-2020,0,0,0,0,34,0,0.000
62,Nunavut,Nunavut,12-03-2020,0,0,0,0,1,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,12-03-2020,1,0,0,1,0,0,0.000
60,Yukon,Yukon,12-03-2020,0,0,0,0,0,0,0.000
1,Canada,Canada,12-03-2020,138,3,0,141,15185,38,0.369
59,British Columbia,Colombie-Britannique,13-03-2020,53,0,0,53,5195,7,0.152
48,Alberta,Alberta,13-03-2020,23,0,0,23,4109,4,0.211
47,Saskatchewan,Saskatchewan,13-03-2020,0,1,0,1,285,0,0.000
46,Manitoba,Manitoba,13-03-2020,1,2,0,3,352,2,2.000
35,Ontario,Ontario,13-03-2020,79,0,0,79,4185,20,0.339
24,Quebec,Québec,13-03-2020,17,0,0,17,740,4,0.308
11,Prince Edward Island,Île-du-Prince-Édouard,13-03-2020,0,0,0,0,6,0,0.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,13-03-2020,0,0,0,0,52,0,0.000
13,New Brunswick,Nouveau-Brunswick,13-03-2020,1,0,0,1,44,0,0.000
12,Nova Scotia,Nouvelle-Écosse,13-03-2020,0,0,0,0,182,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,13-03-2020,2,0,0,2,0,1,1.000
60,Yukon,Yukon,13-03-2020,0,0,0,0,0,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,13-03-2020,0,0,0,0,34,0,0.000
62,Nunavut,Nunavut,13-03-2020,0,0,0,0,1,0,0.000
1,Canada,Canada,13-03-2020,176,3,0,179,15185,38,0.270
59,British Columbia,Colombie-Britannique,14-03-2020,64,0,0,64,7033,11,0.208
48,Alberta,Alberta,14-03-2020,29,0,0,29,5247,6,0.261
47,Saskatchewan,Saskatchewan,14-03-2020,0,2,0,2,349,1,1.000
46,Manitoba,Manitoba,14-03-2020,1,3,0,4,837,1,0.333
35,Ontario,Ontario,14-03-2020,79,0,0,79,6646,0,0.000
24,Quebec,Québec,14-03-2020,17,0,0,17,1584,0,0.000
13,New Brunswick,Nouveau-Brunswick,14-03-2020,1,1,0,2,82,1,1.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,14-03-2020,0,0,0,0,62,0,0.000
12,Nova Scotia,Nouvelle-Écosse,14-03-2020,0,0,0,0,481,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,14-03-2020,0,0,0,0,6,0,0.000
60,Yukon,Yukon,14-03-2020,0,0,0,0,0,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,14-03-2020,0,0,0,0,76,0,0.000
62,Nunavut,Nunavut,14-03-2020,0,0,0,0,6,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,14-03-2020,2,0,0,2,0,0,0.000
1,Canada,Canada,14-03-2020,193,6,0,199,22409,20,0.112
59,British Columbia,Colombie-Britannique,15-03-2020,73,0,0,73,7033,9,0.141
48,Alberta,Alberta,15-03-2020,39,0,0,39,5247,10,0.345
47,Saskatchewan,Saskatchewan,15-03-2020,0,2,0,2,349,0,0.000
46,Manitoba,Manitoba,15-03-2020,4,0,0,4,837,0,0.000
35,Ontario,Ontario,15-03-2020,103,0,0,103,8461,24,0.304
24,Quebec,Québec,15-03-2020,24,0,0,24,2337,7,0.412
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,15-03-2020,0,1,0,1,62,1,0.000
13,New Brunswick,Nouveau-Brunswick,15-03-2020,1,1,0,2,82,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,15-03-2020,1,0,0,1,6,1,0.000
12,Nova Scotia,Nouvelle-Écosse,15-03-2020,0,0,0,0,481,0,0.000
60,Yukon,Yukon,15-03-2020,0,0,0,0,0,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,15-03-2020,0,0,0,0,76,0,0.000
62,Nunavut,Nunavut,15-03-2020,0,0,0,0,6,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,15-03-2020,4,0,0,4,0,2,1.000
1,Canada,Canada,15-03-2020,249,4,0,253,24977,54,0.271
59,British Columbia,Colombie-Britannique,16-03-2020,73,0,0,73,9926,0,0.000
48,Alberta,Alberta,16-03-2020,56,0,0,56,10238,17,0.436
47,Saskatchewan,Saskatchewan,16-03-2020,1,5,0,6,881,4,2.000
46,Manitoba,Manitoba,16-03-2020,4,3,0,7,1848,3,0.750
35,Ontario,Ontario,16-03-2020,145,0,0,145,10178,42,0.408
24,Quebec,Québec,16-03-2020,39,0,0,39,3129,15,0.625
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,16-03-2020,0,1,0,1,161,0,0.000
13,New Brunswick,Nouveau-Brunswick,16-03-2020,1,5,0,6,143,4,2.000
12,Nova Scotia,Nouvelle-Écosse,16-03-2020,0,3,0,3,1075,3,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,16-03-2020,1,0,0,1,6,0,0.000
60,Yukon,Yukon,16-03-2020,0,0,0,0,0,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,16-03-2020,0,0,0,0,138,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,16-03-2020,4,0,0,4,0,0,0.000
62,Nunavut,Nunavut,16-03-2020,0,0,0,0,7,0,0.000
1,Canada,Canada,16-03-2020,324,17,0,341,37730,88,0.348
59,British Columbia,Colombie-Britannique,17-03-2020,103,0,0,103,11612,30,0.411
48,Alberta,Alberta,17-03-2020,74,0,0,74,11487,18,0.321
47,Saskatchewan,Saskatchewan,17-03-2020,2,5,0,7,1066,1,0.167
46,Manitoba,Manitoba,17-03-2020,7,0,0,7,2216,0,0.000
35,Ontario,Ontario,17-03-2020,177,0,0,177,11167,32,0.221
24,Quebec,Québec,17-03-2020,50,0,0,50,4870,11,0.282
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,17-03-2020,0,1,0,1,161,0,0.000
13,New Brunswick,Nouveau-Brunswick,17-03-2020,2,5,0,7,295,1,0.167
12,Nova Scotia,Nouvelle-Écosse,17-03-2020,0,5,0,5,1075,2,0.667
11,Prince Edward Island,Île-du-Prince-Édouard,17-03-2020,1,0,0,1,75,0,0.000
60,Yukon,Yukon,17-03-2020,0,0,0,0,0,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,17-03-2020,0,0,0,0,145,0,0.000
62,Nunavut,Nunavut,17-03-2020,0,0,0,0,7,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,17-03-2020,8,0,0,8,0,4,1.000
1,Canada,Canada,17-03-2020,424,16,0,440,44176,99,0.290
59,British Columbia,Colombie-Britannique,18-03-2020,186,0,0,186,13388,83,0.806
48,Alberta,Alberta,18-03-2020,97,0,0,97,13686,23,0.311
47,Saskatchewan,Saskatchewan,18-03-2020,2,6,0,8,1910,1,0.143
46,Manitoba,Manitoba,18-03-2020,8,7,0,15,2739,8,1.143
35,Ontario,Ontario,18-03-2020,189,0,0,189,13869,12,0.068
24,Quebec,Québec,18-03-2020,74,0,0,74,5880,24,0.480
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,18-03-2020,0,3,0,3,161,2,2.000
13,New Brunswick,Nouveau-Brunswick,18-03-2020,2,6,0,8,408,1,0.143
12,Nova Scotia,Nouvelle-Écosse,18-03-2020,1,6,0,7,1278,2,0.400
60,Yukon,Yukon,18-03-2020,0,0,0,0,0,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,18-03-2020,1,0,0,1,75,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,18-03-2020,0,0,0,0,145,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,18-03-2020,9,0,0,9,0,1,0.125
62,Nunavut,Nunavut,18-03-2020,0,0,0,0,7,0,0.000
1,Canada,Canada,18-03-2020,569,28,0,597,53546,157,0.357
59,British Columbia,Colombie-Britannique,19-03-2020,271,0,0,271,16382,85,0.457
48,Alberta,Alberta,19-03-2020,146,0,0,146,16507,49,0.505
47,Saskatchewan,Saskatchewan,19-03-2020,8,12,0,20,1910,12,1.500
46,Manitoba,Manitoba,19-03-2020,17,0,0,17,3189,2,0.133
35,Ontario,Ontario,19-03-2020,258,0,0,258,18488,69,0.365
24,Quebec,Québec,19-03-2020,121,0,0,121,6757,47,0.635
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,19-03-2020,1,2,0,3,267,0,0.000
13,New Brunswick,Nouveau-Brunswick,19-03-2020,7,4,0,11,527,3,0.375
12,Nova Scotia,Nouvelle-Écosse,19-03-2020,5,9,0,14,1520,7,1.000
11,Prince Edward Island,Île-du-Prince-Édouard,19-03-2020,2,0,0,2,75,1,1.000
61,Northwest Territories,Territoires du Nord-Ouest,19-03-2020,0,0,0,0,221,0,0.000
62,Nunavut,Nunavut,19-03-2020,0,0,0,0,8,0,0.000
60,Yukon,Yukon,19-03-2020,0,0,0,0,0,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,19-03-2020,10,0,0,10,0,1,0.111
1,Canada,Canada,19-03-2020,846,27,0,873,65851,276,0.462
59,British Columbia,Colombie-Britannique,20-03-2020,271,0,8,271,18792,0,0.000
48,Alberta,Alberta,20-03-2020,195,0,1,195,19782,49,0.336
47,Saskatchewan,Saskatchewan,20-03-2020,8,18,0,26,1910,6,0.300
46,Manitoba,Manitoba,20-03-2020,17,0,0,17,3367,0,0.000
35,Ontario,Ontario,20-03-2020,311,0,2,311,21499,53,0.205
24,Quebec,Québec,20-03-2020,139,0,1,139,8539,18,0.149
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,20-03-2020,3,1,0,4,287,1,0.333
13,New Brunswick,Nouveau-Brunswick,20-03-2020,7,4,0,11,640,0,0.000
12,Nova Scotia,Nouvelle-Écosse,20-03-2020,5,10,0,15,1647,1,0.071
11,Prince Edward Island,Île-du-Prince-Édouard,20-03-2020,2,0,0,2,75,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,20-03-2020,0,0,0,0,268,0,0.000
62,Nunavut,Nunavut,20-03-2020,0,0,0,0,8,0,0.000
60,Yukon,Yukon,20-03-2020,0,0,0,0,0,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,20-03-2020,13,0,0,13,0,3,0.300
1,Canada,Canada,20-03-2020,971,33,12,1004,76814,131,0.150
59,British Columbia,Colombie-Britannique,21-03-2020,424,0,10,424,20417,153,0.565
48,Alberta,Alberta,21-03-2020,226,0,1,226,23060,31,0.159
47,Saskatchewan,Saskatchewan,21-03-2020,25,19,0,44,3807,18,0.692
46,Manitoba,Manitoba,21-03-2020,11,8,0,19,3668,2,0.118
35,Ontario,Ontario,21-03-2020,377,0,3,377,25470,66,0.212
24,Quebec,Québec,21-03-2020,202,19,4,221,8539,82,0.590
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,21-03-2020,3,3,0,6,299,2,0.500
13,New Brunswick,Nouveau-Brunswick,21-03-2020,9,8,0,17,865,6,0.545
12,Nova Scotia,Nouvelle-Écosse,21-03-2020,9,12,0,21,1956,6,0.400
11,Prince Edward Island,Île-du-Prince-Édouard,21-03-2020,2,0,0,2,75,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,21-03-2020,1,0,0,1,301,1,0.000
62,Nunavut,Nunavut,21-03-2020,0,0,0,0,10,0,0.000
60,Yukon,Yukon,21-03-2020,0,0,0,0,416,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,21-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,21-03-2020,1302,69,18,1371,88883,367,0.366
59,British Columbia,Colombie-Britannique,22-03-2020,424,0,10,424,22135,0,0.000
48,Alberta,Alberta,22-03-2020,259,0,1,259,26999,33,0.146
47,Saskatchewan,Saskatchewan,22-03-2020,33,19,0,52,4407,8,0.182
46,Manitoba,Manitoba,22-03-2020,11,8,0,19,3936,0,0.000
35,Ontario,Ontario,22-03-2020,425,0,5,425,28570,48,0.127
24,Quebec,Québec,22-03-2020,221,0,4,221,8539,0,0.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,22-03-2020,3,6,0,9,299,3,0.500
13,New Brunswick,Nouveau-Brunswick,22-03-2020,9,8,0,17,924,0,0.000
12,Nova Scotia,Nouvelle-Écosse,22-03-2020,28,0,0,28,2210,7,0.333
11,Prince Edward Island,Île-du-Prince-Édouard,22-03-2020,3,0,0,3,75,1,0.500
