pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numtoday,percentoday
61,Northwest Territories,Territoires du Nord-Ouest,22-03-2020,1,0,0,1,301,0,0.000
62,Nunavut,Nunavut,22-03-2020,0,0,0,0,13,0,0.000
60,Yukon,Yukon,22-03-2020,0,0,0,0,416,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,22-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,22-03-2020,1430,41,20,1471,98824,100,0.073
59,British Columbia,Colombie-Britannique,23-03-2020,472,0,13,472,23460,48,0.113
48,Alberta,Alberta,23-03-2020,301,0,1,301,29757,42,0.162
47,Saskatchewan,Saskatchewan,23-03-2020,65,1,0,66,5130,14,0.269
46,Manitoba,Manitoba,23-03-2020,11,9,0,20,4133,1,0.053
35,Ontario,Ontario,23-03-2020,503,0,6,503,30688,78,0.184
24,Quebec,Québec,23-03-2020,221,407,4,628,8539,407,1.842
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,23-03-2020,4,20,0,24,894,15,1.667
13,New Brunswick,Nouveau-Brunswick,23-03-2020,9,8,0,17,1139,0,0.000
12,Nova Scotia,Nouvelle-Écosse,23-03-2020,41,0,0,41,2408,13,0.464
11,Prince Edward Island,Île-du-Prince-Édouard,23-03-2020,3,0,0,3,206,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,23-03-2020,1,0,0,1,364,0,0.000
62,Nunavut,Nunavut,23-03-2020,0,0,0,0,13,0,0.000
60,Yukon,Yukon,23-03-2020,2,0,0,2,416,2,0.000
99,Repatriated Travellers,Voyageurs rapatriés,23-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,23-03-2020,1646,445,24,2091,107147,620,0.421
59,British Columbia,Colombie-Britannique,24-03-2020,617,0,13,617,26305,145,0.307
48,Alberta,Alberta,24-03-2020,358,0,2,358,32776,57,0.189
47,Saskatchewan,Saskatchewan,24-03-2020,72,0,0,72,5604,6,0.091
46,Manitoba,Manitoba,24-03-2020,11,10,0,21,4406,1,0.050
35,Ontario,Ontario,24-03-2020,588,0,8,588,34727,85,0.169
24,Quebec,Québec,24-03-2020,221,792,4,1013,15071,385,0.613
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,24-03-2020,4,31,0,35,1087,11,0.458
13,New Brunswick,Nouveau-Brunswick,24-03-2020,18,0,0,18,1261,1,0.059
12,Nova Scotia,Nouvelle-Écosse,24-03-2020,51,0,0,51,2641,10,0.244
11,Prince Edward Island,Île-du-Prince-Édouard,24-03-2020,3,0,0,3,206,0,0.000
60,Yukon,Yukon,24-03-2020,2,0,0,2,416,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,24-03-2020,1,0,0,1,481,0,0.000
62,Nunavut,Nunavut,24-03-2020,0,0,0,0,81,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,24-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,24-03-2020,1959,833,27,2792,125062,701,0.335
59,British Columbia,Colombie-Britannique,25-03-2020,659,0,14,659,28344,42,0.068
48,Alberta,Alberta,25-03-2020,419,0,2,419,35508,61,0.170
47,Saskatchewan,Saskatchewan,25-03-2020,86,0,0,86,6111,14,0.194
46,Manitoba,Manitoba,25-03-2020,11,24,0,35,4740,14,0.667
35,Ontario,Ontario,25-03-2020,688,0,13,688,38040,100,0.170
24,Quebec,Québec,25-03-2020,1339,0,6,1339,27828,326,0.322
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,25-03-2020,67,0,0,67,1235,32,0.914
13,New Brunswick,Nouveau-Brunswick,25-03-2020,26,0,0,26,1680,8,0.444
12,Nova Scotia,Nouvelle-Écosse,25-03-2020,68,0,0,68,3008,17,0.333
11,Prince Edward Island,Île-du-Prince-Édouard,25-03-2020,5,0,0,5,301,2,0.667
61,Northwest Territories,Territoires du Nord-Ouest,25-03-2020,1,0,0,1,481,0,0.000
62,Nunavut,Nunavut,25-03-2020,0,0,0,0,97,0,0.000
60,Yukon,Yukon,25-03-2020,3,0,0,3,416,1,0.500
99,Repatriated travellers,Voyageurs rapatriés,25-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,25-03-2020,3385,24,35,3409,147789,617,0.221
59,British Columbia,Colombie-Britannique,26-03-2020,725,0,14,725,30238,66,0.100
48,Alberta,Alberta,26-03-2020,486,0,2,486,36600,67,0.160
47,Saskatchewan,Saskatchewan,26-03-2020,95,0,0,95,6729,9,0.105
46,Manitoba,Manitoba,26-03-2020,11,25,0,36,5429,1,0.029
35,Ontario,Ontario,26-03-2020,858,0,15,858,41217,170,0.247
24,Quebec,Québec,26-03-2020,1629,0,8,1629,33311,290,0.217
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,26-03-2020,82,0,0,82,1447,15,0.224
13,New Brunswick,Nouveau-Brunswick,26-03-2020,33,0,0,33,1849,7,0.269
12,Nova Scotia,Nouvelle-Écosse,26-03-2020,73,0,0,73,3417,5,0.074
11,Prince Edward Island,Île-du-Prince-Édouard,26-03-2020,9,0,0,9,353,4,0.800
61,Northwest Territories,Territoires du Nord-Ouest,26-03-2020,1,0,0,1,481,0,0.000
62,Nunavut,Nunavut,26-03-2020,0,0,0,0,116,0,0.000
60,Yukon,Yukon,26-03-2020,3,0,0,3,416,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,26-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,26-03-2020,4018,25,39,4043,161603,634,0.186
59,British Columbia,Colombie-Britannique,27-03-2020,725,0,14,725,31536,0,0.000
48,Alberta,Alberta,27-03-2020,542,0,2,542,38215,56,0.115
47,Saskatchewan,Saskatchewan,27-03-2020,104,0,0,104,7360,9,0.095
46,Manitoba,Manitoba,27-03-2020,25,14,1,39,6022,3,0.083
35,Ontario,Ontario,27-03-2020,993,0,18,993,43651,135,0.157
24,Quebec,Québec,27-03-2020,2021,0,18,2021,34356,392,0.241
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,27-03-2020,102,0,0,102,1684,20,0.244
13,New Brunswick,Nouveau-Brunswick,27-03-2020,45,0,0,45,2179,12,0.364
12,Nova Scotia,Nouvelle-Écosse,27-03-2020,90,0,0,90,3946,17,0.233
11,Prince Edward Island,Île-du-Prince-Édouard,27-03-2020,11,0,0,11,422,2,0.222
61,Northwest Territories,Territoires du Nord-Ouest,27-03-2020,1,0,0,1,545,0,0.000
62,Nunavut,Nunavut,27-03-2020,0,0,0,0,125,0,0.000
60,Yukon,Yukon,27-03-2020,3,0,0,3,603,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,27-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,27-03-2020,4675,14,53,4689,170644,646,0.160
59,British Columbia,Colombie-Britannique,28-03-2020,884,0,16,884,31536,159,0.219
48,Alberta,Alberta,28-03-2020,542,0,2,542,38215,0,0.000
47,Saskatchewan,Saskatchewan,28-03-2020,134,0,0,134,8009,30,0.288
46,Manitoba,Manitoba,28-03-2020,25,39,1,64,6931,25,0.641
35,Ontario,Ontario,28-03-2020,993,0,18,993,45836,0,0.000
24,Quebec,Québec,28-03-2020,2498,0,22,2498,46087,477,0.236
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,28-03-2020,120,0,0,120,1907,18,0.176
13,New Brunswick,Nouveau-Brunswick,28-03-2020,51,0,0,51,2512,6,0.133
12,Nova Scotia,Nouvelle-Écosse,28-03-2020,110,0,0,110,4487,20,0.222
11,Prince Edward Island,Île-du-Prince-Édouard,28-03-2020,11,0,0,11,422,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,28-03-2020,1,0,0,1,740,0,0.000
62,Nunavut,Nunavut,28-03-2020,0,0,0,0,125,0,0.000
60,Yukon,Yukon,28-03-2020,4,0,0,4,641,1,0.333
99,Repatriated travellers,Voyageurs rapatriés,28-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,28-03-2020,5386,39,59,5425,187448,736,0.157
59,British Columbia,Colombie-Britannique,29-03-2020,884,0,17,884,33476,0,0.000
48,Alberta,Alberta,29-03-2020,621,0,2,621,44097,79,0.146
47,Saskatchewan,Saskatchewan,29-03-2020,134,0,0,134,8822,0,0.000
46,Manitoba,Manitoba,29-03-2020,69,3,1,72,7876,8,0.125
35,Ontario,Ontario,29-03-2020,1355,0,19,1355,52002,362,0.365
24,Quebec,Québec,29-03-2020,2840,0,22,2840,52204,342,0.137
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,29-03-2020,135,0,0,135,2107,15,0.125
13,New Brunswick,Nouveau-Brunswick,29-03-2020,66,0,0,66,2847,15,0.294
12,Nova Scotia,Nouvelle-Écosse,29-03-2020,122,0,0,122,4984,12,0.109
11,Prince Edward Island,Île-du-Prince-Édouard,29-03-2020,11,0,0,11,477,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,29-03-2020,1,0,0,1,740,0,0.000
62,Nunavut,Nunavut,29-03-2020,0,0,0,0,125,0,0.000
60,Yukon,Yukon,29-03-2020,4,0,0,4,678,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,29-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,29-03-2020,6255,3,61,6258,210435,833,0.154
59,British Columbia,Colombie-Britannique,30-03-2020,960,0,19,960,34969,76,0.086
48,Alberta,Alberta,30-03-2020,690,0,8,690,46057,69,0.111
47,Saskatchewan,Saskatchewan,30-03-2020,175,0,2,175,9372,41,0.306
46,Manitoba,Manitoba,30-03-2020,83,13,1,96,8326,24,0.333
35,Ontario,Ontario,30-03-2020,1706,0,33,1706,54112,351,0.259
24,Quebec,Québec,30-03-2020,3430,0,25,3430,59715,590,0.208
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,30-03-2020,148,0,1,148,2332,13,0.096
13,New Brunswick,Nouveau-Brunswick,30-03-2020,68,0,0,68,3267,2,0.030
12,Nova Scotia,Nouvelle-Écosse,30-03-2020,127,0,0,127,5492,5,0.041
11,Prince Edward Island,Île-du-Prince-Édouard,30-03-2020,18,0,0,18,477,7,0.636
61,Northwest Territories,Territoires du Nord-Ouest,30-03-2020,1,0,0,1,740,0,0.000
62,Nunavut,Nunavut,30-03-2020,0,0,0,0,158,0,0.000
60,Yukon,Yukon,30-03-2020,5,0,0,5,688,1,0.250
99,Repatriated travellers,Voyageurs rapatriés,30-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,30-03-2020,7424,13,89,7437,225705,1179,0.188
59,British Columbia,Colombie-Britannique,31-03-2020,970,0,19,970,36024,10,0.010
48,Alberta,Alberta,31-03-2020,754,0,9,754,48692,64,0.093
47,Saskatchewan,Saskatchewan,31-03-2020,184,0,2,184,9372,9,0.051
46,Manitoba,Manitoba,31-03-2020,91,12,1,103,8629,7,0.073
35,Ontario,Ontario,31-03-2020,1966,0,33,1966,55909,260,0.152
24,Quebec,Québec,31-03-2020,4162,0,31,4162,67540,732,0.213
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,31-03-2020,152,0,1,152,2500,4,0.027
13,New Brunswick,Nouveau-Brunswick,31-03-2020,70,0,0,70,3630,2,0.029
12,Nova Scotia,Nouvelle-Écosse,31-03-2020,147,0,0,147,6614,20,0.157
11,Prince Edward Island,Île-du-Prince-Édouard,31-03-2020,21,0,0,21,551,3,0.167
61,Northwest Territories,Territoires du Nord-Ouest,31-03-2020,1,0,0,1,808,0,0.000
62,Nunavut,Nunavut,31-03-2020,0,0,0,0,167,0,0.000
60,Yukon,Yukon,31-03-2020,5,0,0,5,702,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,31-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,31-03-2020,8536,12,96,8548,241138,1111,0.149
59,British Columbia,Colombie-Britannique,01-04-2020,1066,0,25,1066,36364,96,0.099
48,Alberta,Alberta,01-04-2020,754,0,9,754,53141,0,0.000
47,Saskatchewan,Saskatchewan,01-04-2020,193,0,3,193,10202,9,0.049
46,Manitoba,Manitoba,01-04-2020,109,18,1,127,9811,24,0.233
35,Ontario,Ontario,01-04-2020,2392,0,37,2392,61009,426,0.217
24,Quebec,Québec,01-04-2020,4611,0,33,4611,69711,449,0.108
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,01-04-2020,175,0,1,175,2762,23,0.151
13,New Brunswick,Nouveau-Brunswick,01-04-2020,81,0,0,81,4121,11,0.157
12,Nova Scotia,Nouvelle-Écosse,01-04-2020,173,0,0,173,7405,26,0.177
11,Prince Edward Island,Île-du-Prince-Édouard,01-04-2020,21,0,0,21,551,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,01-04-2020,2,0,0,2,951,1,1.000
62,Nunavut,Nunavut,01-04-2020,0,0,0,0,183,0,0.000
60,Yukon,Yukon,01-04-2020,5,0,0,5,722,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,01-04-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,01-04-2020,9595,18,109,9613,256933,1065,0.125
59,British Columbia,Colombie-Britannique,02-04-2020,1121,0,31,1121,36966,55,0.052
48,Alberta,Alberta,02-04-2020,968,0,13,968,57096,214,0.284
47,Saskatchewan,Saskatchewan,02-04-2020,206,0,3,206,11034,13,0.067
46,Manitoba,Manitoba,02-04-2020,152,15,1,167,11098,40,0.315
35,Ontario,Ontario,02-04-2020,2793,0,53,2793,64785,401,0.168
24,Quebec,Québec,02-04-2020,5518,0,36,5518,74542,907,0.197
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,02-04-2020,183,0,1,183,2904,8,0.046
13,New Brunswick,Nouveau-Brunswick,02-04-2020,91,0,0,91,4625,10,0.123
12,Nova Scotia,Nouvelle-Écosse,02-04-2020,193,0,0,193,8059,20,0.116
11,Prince Edward Island,Île-du-Prince-Édouard,02-04-2020,22,0,0,22,653,1,0.048
60,Yukon,Yukon,02-04-2020,6,0,0,6,742,1,0.200
61,Northwest Territories,Territoires du Nord-Ouest,02-04-2020,2,0,0,2,969,0,0.000
62,Nunavut,Nunavut,02-04-2020,0,0,0,0,193,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,02-04-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,02-04-2020,11268,15,138,11283,273666,1670,0.174
59,British Columbia,Colombie-Britannique,03-04-2020,1174,0,35,1174,39926,53,0.047
48,Alberta,Alberta,03-04-2020,1075,0,18,1075,60508,107,0.111
47,Saskatchewan,Saskatchewan,03-04-2020,220,0,3,220,11720,14,0.068
46,Manitoba,Manitoba,03-04-2020,164,18,2,182,11650,15,0.090
35,Ontario,Ontario,03-04-2020,3255,0,67,3255,67998,462,0.165
24,Quebec,Québec,03-04-2020,6101,0,61,6101,83570,583,0.106
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,03-04-2020,183,0,1,183,3136,0,0.000
13,New Brunswick,Nouveau-Brunswick,03-04-2020,95,0,0,95,5036,4,0.044
12,Nova Scotia,Nouvelle-Écosse,03-04-2020,207,0,0,207,8799,14,0.073
11,Prince Edward Island,Île-du-Prince-Édouard,03-04-2020,22,0,0,22,653,0,0.000
60,Yukon,Yukon,03-04-2020,6,0,0,6,753,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,03-04-2020,4,0,0,4,1109,2,1.000
62,Nunavut,Nunavut,03-04-2020,0,0,0,0,207,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,03-04-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,03-04-2020,12519,18,187,12537,295065,1254,0.111
59,British Columbia,Colombie-Britannique,04-04-2020,1203,0,38,1203,40771,29,0.025
48,Alberta,Alberta,04-04-2020,1075,0,18,1075,62520,0,0.000
47,Saskatchewan,Saskatchewan,04-04-2020,231,0,3,231,12244,11,0.050
46,Manitoba,Manitoba,04-04-2020,172,22,2,194,12191,12,0.066
35,Ontario,Ontario,04-04-2020,3630,0,94,3630,72674,375,0.115
24,Quebec,Québec,04-04-2020,6997,0,75,6997,90227,896,0.147
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,04-04-2020,195,0,1,195,5297,12,0.066
13,New Brunswick,Nouveau-Brunswick,04-04-2020,98,0,0,98,3345,3,0.032
12,Nova Scotia,Nouvelle-Écosse,04-04-2020,236,0,0,236,9722,29,0.140
11,Prince Edward Island,Île-du-Prince-Édouard,04-04-2020,22,0,0,22,839,0,0.000
60,Yukon,Yukon,04-04-2020,6,0,0,6,765,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,04-04-2020,4,0,0,4,1169,0,0.000
62,Nunavut,Nunavut,04-04-2020,0,0,0,0,207,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,04-04-2020,13,0,0,13,,0,0.000
1,Canada,Canada,04-04-2020,13882,22,231,13904,311971,1367,0.109
59,British Columbia,Colombie-Britannique,05-04-2020,1203,0,38,1203,41556,0,0.000
48,Alberta,Alberta,05-04-2020,1181,0,20,1181,62520,106,0.099
47,Saskatchewan,Saskatchewan,05-04-2020,231,0,3,231,13055,0,0.000
46,Manitoba,Manitoba,05-04-2020,172,22,2,194,12191,0,0.000
35,Ontario,Ontario,05-04-2020,4038,0,119,4038,76027,408,0.112
24,Quebec,Québec,05-04-2020,6997,0,75,6997,95955,0,0.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,05-04-2020,203,0,1,203,5358,8,0.041
13,New Brunswick,Nouveau-Brunswick,05-04-2020,98,0,0,98,3556,0,0.000
12,Nova Scotia,Nouvelle-Écosse,05-04-2020,236,0,0,236,10084,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,05-04-2020,22,0,0,22,839,0,0.000
60,Yukon,Yukon,05-04-2020,6,0,0,6,765,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,05-04-2020,4,0,0,4,1169,0,0.000
62,Nunavut,Nunavut,05-04-2020,0,0,0,0,222,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,05-04-2020,13,0,0,13,,0,0.000
1,Canada,Canada,05-04-2020,14404,22,258,14426,323297,522,0.038
